date,filt_prob_high,smooth_prob_high
2017-04-18,0.21429874335415533,0.27807148096142686
2017-04-19,0.12949691954703654,0.2978418963103676
2017-04-20,0.09826524999363402,0.38822736719122464
2017-04-21,0.06915973675152408,0.5735923632015487
2017-04-24,0.9999990635955426,0.9999965134231404
2017-04-25,0.6824413661087071,0.386033256587044
2017-04-26,0.36323226194015734,0.17309621582113122
2017-04-27,0.2421744478390747,0.1050164420390049
2017-04-28,0.14403776639460672,0.06816104243100073
2017-05-01,0.16831074692056341,0.05650988326930907
2017-05-02,0.10887938816336146,0.03191716409500599
2017-05-03,0.057495842511212515,0.018026221686218438
2017-05-04,0.043062828649112574,0.015560186227428881
2017-05-05,0.03384914047716278,0.018462987717625754
2017-05-08,0.10532200333792793,0.0331797774399014
2017-05-09,0.05785735945666172,0.02120986194534898
2017-05-10,0.041665534768774035,0.02154914337206356
2017-05-11,0.0406283342759658,0.033211439902785016
2017-05-12,0.036012635098825845,0.06144372082632763
2017-05-15,0.031151222625888216,0.139148925740505
2017-05-16,0.03129997645872669,0.3690865275927765
2017-05-17,0.9999999999753523,0.9999999999964218
2017-05-18,0.7905671721341172,0.9849190340115198
2017-05-19,0.9990820383662787,0.998901017974972
2017-05-22,0.9290041342115065,0.8079762283527838
2017-05-23,0.6141257050889779,0.3965435476133302
2017-05-24,0.5473927208493612,0.24776825040666062
2017-05-25,0.27132720693372586,0.10225013195992894
2017-05-26,0.13514914511359086,0.0542513984507999
2017-05-31,0.11258322378165045,0.04062510264734974
2017-06-01,0.10153922093268891,0.029609714760345244
2017-06-02,0.05851428239980972,0.017161116586519382
2017-06-05,0.044506241796608406,0.013401348836244938
2017-06-06,0.041416249526369485,0.01275047852640179
2017-06-07,0.033577552708675185,0.013052525577793132
2017-06-08,0.03455550635239603,0.019251021490497202
2017-06-09,0.04656282152232931,0.034468455605136
2017-06-12,0.07684251306055394,0.05731158898174109
2017-06-13,0.2278471201768978,0.07437308832229636
2017-06-14,0.10980739598510234,0.03483663169077114
2017-06-15,0.06233834252113241,0.02205160434706241
2017-06-16,0.06609041097729067,0.02082169897213879
2017-06-19,0.04186249317369665,0.01676488109139638
2017-06-20,0.04626947430094116,0.022029016793732058
2017-06-21,0.03580878440060976,0.030561847984501015
2017-06-22,0.03622272978986621,0.06172781045869552
2017-06-23,0.048688715126796206,0.1392742497631526
2017-06-26,0.03752489427372214,0.2769215768232117
2017-06-27,0.2239387324468012,0.6640094855342941
2017-06-28,0.4484877504817984,0.779086790022566
2017-06-29,0.8600486310543132,0.8075834036865193
2017-06-30,0.5464218426733007,0.6226775707422282
2017-07-03,0.26835680348319146,0.5776755102676081
2017-07-06,0.5897376717853275,0.6409781209994966
2017-07-07,0.8357620041151752,0.5820606466589779
2017-07-10,0.49752603410160523,0.23397864069046215
2017-07-11,0.25664221391350206,0.11528015494074562
2017-07-12,0.20509984507291834,0.07565489776506439
2017-07-13,0.13252697519636997,0.04423424847551212
2017-07-14,0.095987565814639,0.027507590786580292
2017-07-17,0.05928204440304878,0.015929506011205075
2017-07-18,0.03927149278303921,0.01069020448640395
2017-07-19,0.03375073030655313,0.009452553352020058
2017-07-20,0.03493825409434684,0.00967651517419127
2017-07-21,0.03622303010090702,0.009509037387729066
2017-07-24,0.031201369978443222,0.008312462229930276
2017-07-25,0.029714673689332973,0.008263032654686097
2017-07-26,0.029665803710826152,0.009128002564286359
2017-07-27,0.04288093767873015,0.011624642593623774
2017-07-28,0.034577681659737056,0.00964667495434713
2017-07-31,0.030932508304558338,0.009657166791078732
2017-08-01,0.03195296587479081,0.01216472744052119
2017-08-02,0.03083260744410563,0.01823116837317554
2017-08-03,0.030044631566589524,0.03604021757176345
2017-08-04,0.041859556726500755,0.08732236677623428
2017-08-07,0.03458474442188886,0.18443562747709752
2017-08-08,0.14870512126242305,0.46070110887129706
2017-08-09,0.07397487051362292,0.5912231466314694
2017-08-10,0.9999999998981216,0.9999999999806731
2017-08-11,0.706042025978015,0.9774862525927017
2017-08-14,0.9999006806053833,0.9999498427977525
2017-08-15,0.7004035440963859,0.9246802952657565
2017-08-16,0.40556402541826386,0.9251080158571571
2017-08-17,0.9999990934950718,0.9999998209984622
2017-08-18,0.8797703896190194,0.9761936501484851
2017-08-21,0.7700028086486345,0.9632773771302053
2017-08-22,0.9821548019768541,0.967304110255351
2017-08-23,0.849742123002989,0.6757278995660736
2017-08-24,0.5071627597707254,0.3786950689057382
2017-08-25,0.5346520754534534,0.2899502546143806
2017-08-28,0.2610781165989313,0.16358795805434598
2017-08-29,0.14033113774037811,0.13371287467120738
2017-08-30,0.0959376574744615,0.14893205934658973
2017-08-31,0.10012596001963923,0.20555751003548178
2017-09-01,0.0820813374961139,0.288300052248961
2017-09-06,0.6182139524660326,0.45345411347639253
2017-09-07,0.3180956411482184,0.3200736707652948
2017-09-08,0.20666980489722903,0.3019072320497691
2017-09-11,0.6570380368200192,0.3324069644285842
2017-09-12,0.3562480407083556,0.12491120652803725
2017-09-13,0.16623423528986264,0.04950260753357779
2017-09-14,0.08051204231058658,0.0232940256075998
2017-09-15,0.05540493607182513,0.014994857188403314
2017-09-18,0.03819230248463389,0.010607676491554998
2017-09-19,0.03189641747783639,0.009874259609324112
2017-09-20,0.04326071475520922,0.012058095434758734
2017-09-21,0.03551026508643599,0.010424512184929945
2017-09-22,0.03216489901190158,0.01105741222841787
2017-09-25,0.05424785893029328,0.015062683801474883
